Name and status of region,Name and status of region.1,ISO,ANSI,ANSI.1,USPS,USCG,GPO,AP,Other abbreviations
,,,,,,,GPO,AP,Other abbreviations
United States of America,Federal state,US USA 840,US,0.0,,,U.S.,U.S.,U.S.A.
Alabama,State,US-AL,AL,1.0,AL,AL,Ala.,Ala.,
Alaska,State,US-AK,AK,2.0,AK,AK,Alaska,Alaska,Ak.[1]
Arizona,State,US-AZ,AZ,4.0,AZ,AZ,Ariz.,Ariz.,
Arkansas,State,US-AR,AR,5.0,AR,AR,Ark.,Ark.,
California,State,US-CA,CA,6.0,CA,CF,Calif.,Calif.,Cal.
Colorado,State,US-CO,CO,8.0,CO,CL,Colo.,Colo.,
Connecticut,State,US-CT,CT,9.0,CT,CT,Conn.,Conn.,
Delaware,State,US-DE,DE,10.0,DE,DL,Del.,Del.,
District of Columbia,Federal district,US-DC,DC,11.0,DC,DC,D.C.,D.C.,Dis. Col.[2]
Florida,State,US-FL,FL,12.0,FL,FL,Fla.,Fla.,
Georgia,State,US-GA,GA,13.0,GA,GA,Ga.,Ga.,Geo.[1]
Hawaii,State,US-HI,HI,15.0,HI,HA,Hawaii,Hawaii,Hi.;[1] Haw.
Idaho,State,US-ID,ID,16.0,ID,ID,Idaho,Idaho,Ida.[1]
Illinois,State,US-IL,IL,17.0,IL,IL,Ill.,Ill.,
Indiana,State,US-IN,IN,18.0,IN,IN,Ind.,Ind.,
Iowa,State,US-IA,IA,19.0,IA,IA,Iowa,Iowa,Ioa.[a]
Kansas,State,US-KS,KS,20.0,KS,KA,Kans.,Kan.,Ka.
Kentucky,State,US-KY,KY,21.0,KY,KY,Ky.,Ky.,"Ken., Kent.[b]"
Louisiana,State,US-LA,LA,22.0,LA,LA,La.,La.,
Maine,State,US-ME,ME,23.0,ME,ME,Maine,Maine,
Maryland,State,US-MD,MD,24.0,MD,MD,Md.,Md.,"Mar., Mary."
Massachusetts,State,US-MA,MA,25.0,MA,MS,Mass.,Mass.,
